tweet_id,rating_numerator,rating_denominator,name,dog_stage,p1,p1_confidence,p1_dog,p2,p2_confidence,p2_dog,p3,p3_confidence,p3_dog,retweet_count,favorite_count,year,month,day
892177421306343426,13.0,10.0,Tilly,,Chihuahua,0.324,True,Pekinese,0.091,True,papillon,0.069,True,5304.0,29360.0,2017,August,Tuesday
891815181378084864,12.0,10.0,Archie,,Chihuahua,0.716,True,malamute,0.078,True,kelpie,0.031,True,3487.0,22076.0,2017,July,Monday
891689557279858688,13.0,10.0,Darla,,paper_towel,0.17,False,Labrador_retriever,0.168,True,spatula,0.041,False,7234.0,36973.0,2017,July,Sunday
891327558926688256,12.0,10.0,Franklin,,basset,0.556,True,English_springer,0.226,True,German_short-haired_pointer,0.175,True,7773.0,35346.0,2017,July,Saturday
891087950875897856,13.0,10.0,NULL,,Chesapeake_Bay_retriever,0.426,True,Irish_terrier,0.116,True,Indian_elephant,0.077,False,2603.0,17827.0,2017,July,Saturday
890971913173991426,13.0,10.0,Jax,,Appenzeller,0.342,True,Border_collie,0.199,True,ice_lolly,0.194,False,1671.0,10380.0,2017,July,Friday
890729181411237888,13.0,10.0,NULL,,Pomeranian,0.566,True,Eskimo_dog,0.178,True,Pembroke,0.077,True,15776.0,56906.0,2017,July,Friday
890609185150312448,13.0,10.0,Zoey,,Irish_terrier,0.488,True,Irish_setter,0.193,True,Chesapeake_Bay_retriever,0.118,True,3628.0,24554.0,2017,July,Thursday
890240255349198849,14.0,10.0,Cassie,doggo,Pembroke,0.511,True,Cardigan,0.451,True,Chihuahua,0.029,True,6108.0,27990.0,2017,July,Wednesday
890006608113172480,13.0,10.0,Koda,,Samoyed,0.958,True,Pomeranian,0.014,True,chow,0.008,True,6157.0,27066.0,2017,July,Wednesday
889880896479866881,13.0,10.0,Bruno,,French_bulldog,0.377,True,Labrador_retriever,0.151,True,muzzle,0.083,False,4174.0,24594.0,2017,July,Tuesday
889665388333682689,13.0,10.0,NULL,puppo,Pembroke,0.966,True,Cardigan,0.027,True,basenji,0.005,True,8360.0,42094.0,2017,July,Tuesday
889638837579907072,12.0,10.0,Ted,,French_bulldog,0.992,True,boxer,0.002,True,Staffordshire_bullterrier,0.001,True,3720.0,23707.0,2017,July,Tuesday
889531135344209921,13.0,10.0,Stuart,puppo,golden_retriever,0.953,True,Labrador_retriever,0.014,True,redbone,0.008,True,,,2017,July,Monday
889278841981685760,13.0,10.0,Oliver,,whippet,0.626,True,borzoi,0.195,True,Saluki,0.027,True,4449.0,22149.0,2017,July,Monday
888917238123831296,12.0,10.0,Jim,,golden_retriever,0.715,True,Tibetan_mastiff,0.12,True,Labrador_retriever,0.106,True,,,2017,July,Sunday
888804989199671297,13.0,10.0,Zeke,,golden_retriever,0.47,True,Labrador_retriever,0.184,True,English_setter,0.073,True,,,2017,July,Saturday
888554962724278272,13.0,10.0,Ralphus,,Siberian_husky,0.7,True,Eskimo_dog,0.167,True,malamute,0.111,True,,,2017,July,Saturday
888078434458587136,12.0,10.0,Gerald,,French_bulldog,0.995,True,pug,0.001,True,bull_mastiff,0.001,True,2901.0,19167.0,2017,July,Thursday
887705289381826560,13.0,10.0,Jeffrey,,basset,0.822,True,redbone,0.088,True,Weimaraner,0.026,True,,,2017,July,Wednesday
887473957103951883,13.0,10.0,Canela,,Pembroke,0.809,True,Rhodesian_ridgeback,0.055,True,beagle,0.039,True,15049.0,60243.0,2017,July,Wednesday
887343217045368832,13.0,10.0,NULL,,Mexican_hairless,0.331,True,sea_lion,0.276,False,Weimaraner,0.134,True,8819.0,29618.0,2017,July,Tuesday
